LLM可训练总参数量：25.830 百万
Epoch:[1/1](6900/44160) loss:2.453 lr:0.000520480316 epoch_Time:40.0min:
Epoch:[1/1](7000/44160) loss:2.694 lr:0.000519636351 epoch_Time:40.0min:
Epoch:[1/1](7100/44160) loss:2.668 lr:0.000518781271 epoch_Time:40.0min:
Epoch:[1/1](7200/44160) loss:2.376 lr:0.000517915118 epoch_Time:40.0min:
Epoch:[1/1](7300/44160) loss:3.552 lr:0.000517037936 epoch_Time:40.0min:
Epoch:[1/1](7400/44160) loss:2.904 lr:0.000516149769 epoch_Time:40.0min:
Epoch:[1/1](7500/44160) loss:2.467 lr:0.000515250663 epoch_Time:40.0min:
Epoch:[1/1](7600/44160) loss:2.698 lr:0.000514340664 epoch_Time:39.0min:
Epoch:[1/1](7700/44160) loss:3.020 lr:0.000513419816 epoch_Time:39.0min:
Epoch:[1/1](7800/44160) loss:3.096 lr:0.000512488167 epoch_Time:39.0min:
Epoch:[1/1](7900/44160) loss:2.457 lr:0.000511545764 epoch_Time:39.0min:
Epoch:[1/1](8000/44160) loss:2.957 lr:0.000510592655 epoch_Time:39.0min:
Epoch:[1/1](8100/44160) loss:2.644 lr:0.000509628887 epoch_Time:39.0min:
Epoch:[1/1](8200/44160) loss:2.505 lr:0.000508654510 epoch_Time:38.0min:
Epoch:[1/1](8300/44160) loss:2.780 lr:0.000507669573 epoch_Time:38.0min:
Epoch:[1/1](8400/44160) loss:2.469 lr:0.000506674126 epoch_Time:38.0min:
Epoch:[1/1](8500/44160) loss:3.136 lr:0.000505668219 epoch_Time:37.0min:
Epoch:[1/1](8600/44160) loss:2.896 lr:0.000504651903 epoch_Time:37.0min:
Epoch:[1/1](8700/44160) loss:2.535 lr:0.000503625229 epoch_Time:37.0min:
Epoch:[1/1](8800/44160) loss:2.575 lr:0.000502588250 epoch_Time:37.0min:
Epoch:[1/1](8900/44160) loss:2.786 lr:0.000501541018 epoch_Time:37.0min:
Epoch:[1/1](9000/44160) loss:2.280 lr:0.000500483585 epoch_Time:37.0min:
Epoch:[1/1](9100/44160) loss:2.965 lr:0.000499416006 epoch_Time:37.0min:
Epoch:[1/1](9200/44160) loss:2.300 lr:0.000498338335 epoch_Time:37.0min:
Epoch:[1/1](9300/44160) loss:2.836 lr:0.000497250626 epoch_Time:37.0min:
Epoch:[1/1](9400/44160) loss:2.579 lr:0.000496152933 epoch_Time:37.0min:
Epoch:[1/1](9500/44160) loss:3.297 lr:0.000495045314 epoch_Time:36.0min:
Epoch:[1/1](9600/44160) loss:2.940 lr:0.000493927823 epoch_Time:36.0min:
Epoch:[1/1](9700/44160) loss:3.104 lr:0.000492800517 epoch_Time:36.0min:
Epoch:[1/1](9800/44160) loss:2.489 lr:0.000491663453 epoch_Time:36.0min:
Epoch:[1/1](9900/44160) loss:1.631 lr:0.000490516690 epoch_Time:36.0min:
Epoch:[1/1](10000/44160) loss:2.558 lr:0.000489360284 epoch_Time:36.0min:
