LLM可训练总参数量：25.830 百万
Epoch:[1/2](6900/59125) loss:1.484 lr:0.000000545811 epoch_Time:39.0min:
Epoch:[1/2](7000/59125) loss:2.533 lr:0.000000545689 epoch_Time:39.0min:
Epoch:[1/2](7100/59125) loss:4.515 lr:0.000000545566 epoch_Time:39.0min:
Epoch:[1/2](7200/59125) loss:2.070 lr:0.000000545440 epoch_Time:39.0min:
Epoch:[1/2](7300/59125) loss:2.030 lr:0.000000545313 epoch_Time:39.0min:
Epoch:[1/2](7400/59125) loss:1.919 lr:0.000000545184 epoch_Time:39.0min:
Epoch:[1/2](7500/59125) loss:2.981 lr:0.000000545054 epoch_Time:39.0min:
Epoch:[1/2](7600/59125) loss:3.553 lr:0.000000544921 epoch_Time:39.0min:
Epoch:[1/2](7700/59125) loss:4.527 lr:0.000000544787 epoch_Time:39.0min:
Epoch:[1/2](7800/59125) loss:1.500 lr:0.000000544651 epoch_Time:39.0min:
Epoch:[1/2](7900/59125) loss:3.701 lr:0.000000544514 epoch_Time:39.0min:
Epoch:[1/2](8000/59125) loss:1.968 lr:0.000000544375 epoch_Time:39.0min:
Epoch:[1/2](8100/59125) loss:1.185 lr:0.000000544234 epoch_Time:38.0min:
Epoch:[1/2](8200/59125) loss:4.852 lr:0.000000544091 epoch_Time:38.0min:
Epoch:[1/2](8300/59125) loss:1.432 lr:0.000000543947 epoch_Time:37.0min:
Epoch:[1/2](8400/59125) loss:1.489 lr:0.000000543800 epoch_Time:37.0min:
Epoch:[1/2](8500/59125) loss:2.357 lr:0.000000543653 epoch_Time:38.0min:
Epoch:[1/2](8600/59125) loss:3.944 lr:0.000000543503 epoch_Time:38.0min:
Epoch:[1/2](8700/59125) loss:1.168 lr:0.000000543352 epoch_Time:38.0min:
Epoch:[1/2](8800/59125) loss:2.178 lr:0.000000543199 epoch_Time:38.0min:
Epoch:[1/2](8900/59125) loss:2.552 lr:0.000000543044 epoch_Time:38.0min:
Epoch:[1/2](9000/59125) loss:1.859 lr:0.000000542887 epoch_Time:38.0min:
Epoch:[1/2](9100/59125) loss:4.214 lr:0.000000542729 epoch_Time:38.0min:
Epoch:[1/2](9200/59125) loss:3.052 lr:0.000000542569 epoch_Time:38.0min:
Epoch:[1/2](9300/59125) loss:3.177 lr:0.000000542408 epoch_Time:38.0min:
Epoch:[1/2](9400/59125) loss:1.252 lr:0.000000542245 epoch_Time:37.0min:
Epoch:[1/2](9500/59125) loss:1.453 lr:0.000000542080 epoch_Time:37.0min:
Epoch:[1/2](9600/59125) loss:1.703 lr:0.000000541913 epoch_Time:37.0min:
Epoch:[1/2](9700/59125) loss:4.252 lr:0.000000541744 epoch_Time:37.0min:
Epoch:[1/2](9800/59125) loss:1.622 lr:0.000000541574 epoch_Time:37.0min:
Epoch:[1/2](9900/59125) loss:2.212 lr:0.000000541402 epoch_Time:37.0min:
Epoch:[1/2](10000/59125) loss:1.864 lr:0.000000541229 epoch_Time:37.0min:
Epoch:[1/2](10100/59125) loss:1.036 lr:0.000000541054 epoch_Time:37.0min:
Epoch:[1/2](10200/59125) loss:1.974 lr:0.000000540877 epoch_Time:37.0min:
Epoch:[1/2](10300/59125) loss:1.262 lr:0.000000540698 epoch_Time:37.0min:
Epoch:[1/2](10400/59125) loss:1.658 lr:0.000000540518 epoch_Time:37.0min:
Epoch:[1/2](10500/59125) loss:1.722 lr:0.000000540336 epoch_Time:37.0min:
Epoch:[1/2](10600/59125) loss:1.423 lr:0.000000540152 epoch_Time:37.0min:
Epoch:[1/2](10700/59125) loss:1.605 lr:0.000000539967 epoch_Time:37.0min:
Epoch:[1/2](10800/59125) loss:1.885 lr:0.000000539779 epoch_Time:36.0min:
Epoch:[1/2](10900/59125) loss:1.317 lr:0.000000539591 epoch_Time:36.0min:
Epoch:[1/2](11000/59125) loss:2.870 lr:0.000000539400 epoch_Time:36.0min:
Epoch:[1/2](11100/59125) loss:2.097 lr:0.000000539208 epoch_Time:36.0min:
Epoch:[1/2](11200/59125) loss:1.378 lr:0.000000539014 epoch_Time:35.0min:
Epoch:[1/2](11300/59125) loss:1.043 lr:0.000000538818 epoch_Time:35.0min:
Epoch:[1/2](11400/59125) loss:2.100 lr:0.000000538621 epoch_Time:35.0min:
Epoch:[1/2](11500/59125) loss:2.002 lr:0.000000538422 epoch_Time:35.0min:
Epoch:[1/2](11600/59125) loss:2.173 lr:0.000000538222 epoch_Time:35.0min:
Epoch:[1/2](11700/59125) loss:1.771 lr:0.000000538019 epoch_Time:35.0min:
Epoch:[1/2](11800/59125) loss:1.722 lr:0.000000537815 epoch_Time:35.0min:
Epoch:[1/2](11900/59125) loss:3.791 lr:0.000000537610 epoch_Time:35.0min:
Epoch:[1/2](12000/59125) loss:4.646 lr:0.000000537402 epoch_Time:35.0min:
Epoch:[1/2](12100/59125) loss:4.052 lr:0.000000537193 epoch_Time:34.0min:
Epoch:[1/2](12200/59125) loss:2.163 lr:0.000000536983 epoch_Time:34.0min:
